time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1651	1.39163	5.1528	0.27474	0.28864	radar	4.41389	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3852	1.46635	5.10725	0.293511	0.295734	lidar	0.984019	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6127	1.55689	4.9057	0.322404	0.321511	radar	2.46286	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8311	1.57102	4.84574	0.303024	0.26912	lidar	1.4667	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1014	1.62462	5.03964	0.297404	0.237221	radar	2.7628	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3846	1.65985	5.08972	0.281135	0.194961	lidar	2.38207	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6144	1.71502	4.99901	0.284059	0.185831	radar	0.655416	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8422	1.77338	4.97214	0.28755	0.177252	lidar	0.259083	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1009	1.87122	5.16509	0.306497	0.189523	radar	1.42738	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3482	1.88687	5.12898	0.279914	0.13612	lidar	0.79212	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6063	1.94751	5.23922	0.277408	0.120431	radar	0.615385	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8069	2.09101	5.19651	0.329903	0.188781	lidar	3.10258	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0759	2.20983	5.38678	0.352144	0.204151	radar	2.42722	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2826	2.35504	5.34602	0.396964	0.255078	lidar	2.3199	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4519	2.51332	5.01746	0.457887	0.336431	radar	10.5497	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7025	2.61812	5.05613	0.46602	0.323591	lidar	0.953156	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9211	2.73417	5.03855	0.483946	0.326602	radar	0.0986394	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1497	2.88472	5.08072	0.5158	0.349187	lidar	0.411122	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4023	3.00235	5.28205	0.515411	0.314406	radar	1.40182	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6128	3.05338	5.16837	0.492314	0.257825	lidar	2.60541	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8431	3.2225	5.30838	0.525558	0.284076	radar	3.20771	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0549	3.41899	5.35059	0.574961	0.335615	lidar	0.640325	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2611	3.5973	5.24124	0.616838	0.380573	radar	2.47085	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4768	3.77894	5.28175	0.649008	0.39975	lidar	0.282002	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.687	3.91415	5.24416	0.655826	0.380889	radar	1.19328	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9121	4.04093	5.22555	0.653197	0.349433	lidar	0.379988	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1061	4.19979	5.0739	0.679223	0.371306	radar	1.35101	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3011	4.39202	5.11723	0.712659	0.393021	lidar	0.238391	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5127	4.55777	5.19252	0.722492	0.374544	radar	0.768492	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6906	4.71533	5.15001	0.737691	0.369204	lidar	0.496927	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8424	4.89565	4.87553	0.782267	0.426923	radar	2.86938	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9997	5.12531	4.94554	0.832963	0.469564	lidar	0.543354	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1735	5.2835	4.92948	0.840358	0.444662	radar	1.57345	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3291	5.45922	4.90643	0.860181	0.441066	lidar	0.115736	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4896	5.6119	4.83055	0.867265	0.421209	radar	2.75971	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6821	5.7213	4.74261	0.842952	0.356232	lidar	1.39372	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8308	5.90272	4.67184	0.86854	0.373568	radar	0.495585	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0001	6.10434	4.73326	0.889833	0.378025	lidar	1.07982	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1539	6.30838	4.81432	0.911693	0.378624	radar	0.965092	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2705	6.56705	4.90401	0.968858	0.43349	lidar	0.874632	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4039	6.77903	4.90068	0.996523	0.444311	radar	0.250644	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5542	6.90058	4.75862	0.977072	0.3848	lidar	1.40531	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7067	7.10748	4.8901	0.984326	0.357392	radar	0.772063	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.91	7.23776	4.81159	0.947065	0.280079	lidar	3.48102	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.002	7.42177	4.58842	0.984427	0.328402	radar	3.60082	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0821	7.71836	4.747	1.05825	0.410298	lidar	2.04848	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2072	7.91917	4.78406	1.06791	0.389288	radar	0.291247	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2823	8.146	4.78664	1.10784	0.417221	lidar	1.25379	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3834	8.35461	4.83857	1.121	0.396018	radar	2.11263	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4821	8.48872	4.6612	1.11273	0.35537	lidar	2.97385	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5777	8.68632	4.59038	1.13209	0.363022	radar	0.41338	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7406	8.86209	4.56725	1.11163	0.310546	lidar	3.87122	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8189	9.07266	4.48044	1.14473	0.345888	radar	0.946153	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9428	9.31904	4.58872	1.16184	0.347801	lidar	3.50798	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9929	9.52784	4.4321	1.20752	0.405607	radar	2.09224	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0704	9.78845	4.54521	1.24403	0.429621	lidar	1.26881	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.131	10.0461	4.7053	1.27429	0.4298	radar	7.55363	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
